#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#z,,
#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],
1.0E8,58.79222983953031,
1.21E8,48.52953707894238,
1.42E8,41.29272224742944,
1.63E8,35.912274874978586,
1.84E8,31.752591522748492,
2.05E8,28.438511201524022,
2.26E8,25.73431334398033,
2.47E8,23.484441507258786,
2.68E8,21.582095782163353,
2.89E8,19.951518476915055,
3.1E8,18.53747981303727,
3.31E8,17.298766044927223,
3.52E8,16.2039985364281,
3.73E8,15.228865159896614,
3.94E8,14.35423708528482,
4.15E8,13.564857339181101,
4.36E8,12.848408358181048,
4.57E8,12.194836628148744,
4.78E8,11.595855347410298,
4.99E8,11.044572669975535,
5.2E8,10.53521002829923,
5.41E8,10.062886059274398,
5.62E8,9.623448973911575,
5.83E8,9.213345155932544,
6.04E8,8.829515171993473,
6.25E8,8.469310746338586,
6.46E8,8.130427929356598,
6.67E8,7.810852891084663,
6.88E8,7.508817642193756,
7.09E8,7.222763624164064,
7.3E8,6.951311584048045,
7.51E8,6.693236503698228,
7.72E8,6.447446621032557,
7.93E8,6.212965784804965,
8.14E8,5.988918540902488,
8.35E8,5.77451746930826,
8.56E8,5.569052385246376,
8.77E8,5.3718810920625515,
8.98E8,5.18242143185042,
9.19E8,5.000144426268009,
9.4E8,4.824568337087692,
9.61E8,4.655253505826711,
9.82E8,4.491797855873473,
1.003E9,4.333832960059291,
1.024E9,4.181020592555291,
1.045E9,4.033049697024995,
1.066E9,3.8896337137019024,
1.087E9,3.7505082169355997,
1.108E9,3.6154288221132957,
1.129E9,3.484169326998095,
1.15E9,3.356520057656265,
1.171E9,3.2322863934540074,
1.192E9,3.1112874492367393,
1.213E9,2.9933548958791745,
1.234E9,2.878331903010235,
1.255E9,2.766072189953084,
1.276E9,2.656439172844228,
1.297E9,2.549305197563181,
1.318E9,2.444550849564196,
1.339E9,2.3420643329970585,
1.36E9,2.2417409126748327,
1.381E9,2.1434824135314194,
1.402E9,2.0471967732513154,
1.423E9,1.9527976447936721,
1.444E9,1.8602040466281882,
1.465E9,1.769340059723569,
1.486E9,1.680134571779895,
1.507E9,1.5925210710171815,
1.528E9,1.5064374942370407,
1.549E9,1.4218261371894976,
1.57E9,1.3386336400171903,
1.591E9,1.2568110675430137,
1.612E9,1.176314114782776,
1.633E9,1.0971034846165335,
1.654E9,1.019145511064784,
1.675E9,0.9424131452886224,
1.696E9,0.8668874955646215,
1.717E9,0.7925602425150843,
1.738E9,0.7194374873922762,
1.759E9,0.6475460392596876,
1.78E9,0.5769440352475749,
1.801E9,0.507739641806902,
1.822E9,0.4401256795735057,
1.843E9,0.374447630275412,
1.864E9,0.31134645553084683,
1.885E9,0.2520796766563855,
1.906E9,0.19927382013366562,
1.927E9,0.15852133682013236,
1.948E9,0.1396887227229086,
1.969E9,0.15029913561021388,
1.99E9,0.18466940752234784,
2.011E9,0.2319678886815165,
2.032E9,0.285445911455935,
2.053E9,0.3419016250197232,
2.074E9,0.39982005486965605,
2.095E9,0.4584358719239946,
2.116E9,0.517334816385073,
2.137E9,0.5762794496405803,
2.158E9,0.6351276796992762,
2.179E9,0.693791932017895,
2.2E9,0.7522173723166894,
2.221E9,0.8103696462254084,
2.242E9,0.868227649190818,
2.263E9,0.9257790897673994,
2.284E9,0.9830176722598376,
2.305E9,1.039941254009014,
2.326E9,1.0965506088985675,
2.347E9,1.1528485790047538,
2.368E9,1.2088394812126995,
2.389E9,1.264528685175626,
2.41E9,1.31992230878472,
2.431E9,1.3750269957102201,
2.452E9,1.4298497512062673,
2.473E9,1.484397819890226,
2.494E9,1.538678594163941,
2.515E9,1.5926995452720518,
2.536E9,1.6464681712639408,
2.557E9,1.6999919577002782,
2.578E9,1.7532783480517544,
2.599E9,1.8063347215256917,
2.62E9,1.859168376624303,
2.641E9,1.911786519152365,
2.662E9,1.9641962536970485,
2.683E9,2.0164045778294644,
2.704E9,2.068418378447654,
2.725E9,2.1202444298095844,
2.746E9,2.1718893929030236,
2.767E9,2.2233598158746335,
2.788E9,2.2746621352991574,
2.809E9,2.325802678115048,
2.83E9,2.3767876640886874,
2.851E9,2.4276232086973892,
2.872E9,2.4783153263438407,
2.893E9,2.5288699338323335,
2.914E9,2.5792928540514937,
2.935E9,2.6295898198196856,
2.956E9,2.679766477858605,
2.977E9,2.7298283928681433,
2.998E9,2.7797810516818693,
3.019E9,2.8296298674875215,
3.04E9,2.8793801841012425,
3.061E9,2.929037280287762,
3.082E9,2.978606374121767,
3.103E9,3.02809262738819,
3.124E9,3.077501150021437,
3.145E9,3.1268370045853358,
3.166E9,3.176105210797398,
3.187E9,3.2253107501024196,
3.208E9,3.2744585703018774,
3.229E9,3.32355359024682,
3.25E9,3.3726007046032507,
3.271E9,3.4216047887000807,
3.292E9,3.4705707034710565,
3.313E9,3.5195033005030774,
3.334E9,3.568407427204686,
3.355E9,3.617287932109668,
3.376E9,3.666149670332045,
3.397E9,3.714997509190161,
3.418E9,3.763836334019028,
3.439E9,3.8126710541916964,
3.46E9,3.861506609372193,
3.481E9,3.910347976024397,
3.502E9,3.9592001742033407,
3.523E9,4.008068274657614,
3.544E9,4.056957406274052,
3.565E9,4.105872763898571,
3.586E9,4.1548196165699585,
3.607E9,4.203803316206758,
3.628E9,4.2528293067908605,
3.649E9,4.3019031340955065,
3.67E9,4.351030456009631,
3.691E9,4.400217053515347,
3.712E9,4.449468842380655,
3.733E9,4.4987918856352485,
3.754E9,4.548192406903707,
3.775E9,4.597676804677518,
3.796E9,4.647251667614977,
3.817E9,4.6969237909667365,
3.838E9,4.746700194234033,
3.859E9,4.796588140177012,
3.88E9,4.846595155301699,
3.901E9,4.896729051966638,
3.922E9,4.946997952263393,
3.943E9,4.997410313839772,
3.964E9,5.04797495785013,
3.985E9,5.0987010992339314,
4.006E9,5.1495983795414375,
4.027E9,5.200676902544117,
4.048E9,5.251947272886605,
4.069E9,5.303420638056617,
4.09E9,5.355108733968316,
4.111E9,5.407023934472674,
4.132E9,5.459179305123733,
4.153E9,5.511588661540864,
4.174E9,5.564266632711668,
4.195E9,5.617228729574338,
4.216E9,5.6704914191977025,
4.237E9,5.72407220483507,
4.258E9,5.777989712055305,
4.279E9,5.832263781039165,
4.3E9,5.886915564953791,
4.321E9,5.941967634060051,
4.342E9,5.997444084834745,
4.363E9,6.053370652858245,
4.384E9,6.109774827468848,
4.405E9,6.166685965134207,
4.426E9,6.22413539702482,
4.447E9,6.282156524236335,
4.468E9,6.3407848912788145,
4.489E9,6.400058224528991,
4.51E9,6.460016416905185,
4.531E9,6.520701432488126,
4.552E9,6.582157094356579,
4.573E9,6.6444287043954136,
4.594E9,6.707562423675776,
4.615E9,6.771604313990963,
4.636E9,6.836598902192194,
4.657E9,6.902587074886435,
4.678E9,6.969603036091655,
4.699E9,7.037669956925652,
4.72E9,7.106793804394764,
4.741E9,7.176954643628058,
4.762E9,7.248094450850216,
4.783E9,7.320100141002106,
4.804E9,7.392780101407313,
4.825E9,7.465832054462606,
4.846E9,7.538799631527848,
4.867E9,7.611014836134269,
4.888E9,7.681524056826754,
4.909E9,7.748997328059258,
4.93E9,7.811625647071812,
4.951E9,7.867021628024514,
4.972E9,7.912157272135686,
4.993E9,7.943400230449796,
5.014E9,7.956741123794492,
5.035E9,7.948318686432484,
5.056E9,7.9153048203384495,
5.077E9,7.85705946928482,
5.098E9,7.776209503988444,
5.119E9,7.679086327786069,
5.14E9,7.575031995454873,
5.161E9,7.474587436155659,
5.182E9,7.387235375759631,
5.203E9,7.319643979507225,
5.224E9,7.275005782002678,
5.245E9,7.253424781282739,
5.266E9,7.252877878334927,
5.287E9,7.2702466030554715,
5.308E9,7.3021208150116275,
5.329E9,7.345295473045773,
5.35E9,7.397009024685038,
5.371E9,7.455010510153929,
5.392E9,7.517532763482646,
5.413E9,7.5832247411195794,
5.434E9,7.651073662184325,
5.455E9,7.720332115090907,
5.476E9,7.790456075577975,
5.497E9,7.8610549703336465,
5.518E9,7.931852745191868,
5.539E9,8.002658138397091,
5.56E9,8.073342285752563,
5.581E9,8.143821996132756,
5.602E9,8.214047332534305,
5.623E9,8.283992424764534,
5.644E9,8.353648690369432,
5.665E9,8.423019842517439,
5.686E9,8.492118220694902,
5.707E9,8.560962099530952,
5.728E9,8.629573720636744,
5.749E9,8.697977858928057,
5.77E9,8.76620078415386,
5.791E9,8.834269514692082,
5.812E9,8.90221128745973,
5.833E9,8.970053187530882,
5.854E9,9.037821895628745,
5.875E9,9.105543522426263,
5.896E9,9.173243506562615,
5.917E9,9.240946559196685,
5.938E9,9.308676642314271,
5.959E9,9.376456971279135,
5.98E9,9.444310034560743,
6.001E9,9.512257625396462,
6.022E9,9.580320881512375,
6.043E9,9.648520330049866,
6.064E9,9.716875935612707,
6.085E9,9.785407149924387,
6.106E9,9.8541329620165,
6.127E9,9.923071948192097,
6.148E9,9.992242321248701,
6.169E9,10.06166197862578,
6.19E9,10.131348549274353,
6.211E9,10.201319439144976,
6.232E9,10.271591875262084,
6.253E9,10.342182948404417,
6.274E9,10.413109654448483,
6.295E9,10.484388934457181,
6.316E9,10.556037713613083,
6.337E9,10.628072939106328,
6.358E9,10.700511617093147,
6.379E9,10.773370848843284,
6.4E9,10.846667866193856,
6.421E9,10.920420066425333,
6.442E9,10.994645046670291,
6.463E9,11.069360637960992,
6.484E9,11.144584939014496,
6.505E9,11.220336349846804,
6.526E9,11.296633605298494,
6.547E9,11.373495808544686,
6.568E9,11.450942464650531,
6.589E9,11.528993514221352,
6.61E9,11.607669367181384,
6.631E9,11.686990936698963,
6.652E9,11.766979673256143,
6.673E9,11.84765759883883,
6.694E9,11.929047341196535,
6.715E9,12.011172168090413,
6.736E9,12.094056021411209,
6.757E9,12.177723551005808,
6.778E9,12.262200147999188,
6.799E9,12.347511977337863,
6.82E9,12.433686009207745,
6.841E9,12.520750048892676,
6.862E9,12.608732764536276,
6.883E9,12.697663712146191,
6.904E9,12.78757335703177,
6.925E9,12.878493090690235,
6.946E9,12.970455241944709,
6.967E9,13.063493080885438,
6.988E9,13.157640813863248,
7.009E9,13.252933567422689,
7.03E9,13.349407358629499,
7.051E9,13.447099048728397,
7.072E9,13.546046276446102,
7.093E9,13.646287366510487,
7.114E9,13.74786120806446,
7.135E9,13.850807096585088,
7.156E9,13.95516453163712,
7.177E9,14.060972961256333,
7.198E9,14.168271461919769,
7.219E9,14.277098340861025,
7.24E9,14.387490644857554,
7.261E9,14.499483556474939,
7.282E9,14.613109655004846,
7.303E9,14.728398014873163,
7.324E9,14.845373108999997,
7.345E9,14.964053478331598,
7.366E9,15.08445012139139,
7.387E9,15.20656454906827,
7.408E9,15.330386439836643,
7.429E9,15.455890819076249,
7.45E9,15.583034673077181,
7.471E9,15.71175289373415,
7.492E9,15.84195343408143,
7.513E9,15.973511538209637,
7.534E9,16.106262892677435,
7.555E9,16.2399955318698,
7.576E9,16.374440319375974,
7.597E9,16.509259825207234,
7.618E9,16.644035430222473,
7.639E9,16.77825252261315,
7.66E9,16.911283718040522,
7.681E9,17.042370150261526,
7.702E9,17.170601062569496,
7.723E9,17.29489220641149,
7.744E9,17.41396394992522,
7.765E9,17.52632054404879,
7.786E9,17.630232709342213,
7.807E9,17.723726597041978,
7.828E9,17.80458321146023,
7.849E9,17.87035346433066,
7.87E9,17.918394979320308,
7.891E9,17.94593726985808,
7.912E9,17.950181537447378,
7.933E9,17.928439544707796,
7.954E9,17.878312282997683,
7.975E9,17.797903173829436,
7.996E9,17.686052526100426,
8.017E9,17.54257094132081,
8.038E9,17.368441293765414,
8.059E9,17.16595451208094,
8.08E9,16.938746345532312,
8.101E9,16.691712174276386,
8.122E9,16.430794076809473,
8.143E9,16.162655551355027,
8.164E9,15.894279363747067,
8.185E9,15.632537643139045,
8.206E9,15.38378702412708,
8.227E9,15.15353481706146,
8.248E9,14.94620734815635,
8.269E9,14.765033052477309,
8.29E9,14.612035153242966,
8.311E9,14.488115237224324,
8.332E9,14.393201399922042,
8.353E9,14.326432840014503,
8.374E9,14.28635557783296,
8.395E9,14.27110955327631,
8.416E9,14.278593947224339,
8.437E9,14.306603791880983,
8.458E9,14.352935963566598,
8.479E9,14.415466174201212,
8.5E9,14.492200658361558,
