#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#x,,
#DC0V 25degC,,
Frequency[Hz],Reactance[ohm],
1.0E8,58.792160606255834,
1.21E8,48.529453010547044,
1.42E8,41.29262317406288,
1.63E8,35.91216059656624,
1.84E8,31.75246180861569,
2.05E8,28.438365789963022,
2.26E8,25.734151941756725,
2.47E8,23.484263789054324,
2.68E8,21.581901389952204,
2.89E8,19.95130701927022,
3.1E8,18.53725086436348,
3.31E8,17.29851914461627,
3.52E8,16.203733187931984,
3.73E8,15.228580829713446,
3.94E8,14.353933201851673,
4.15E8,13.56453329166748,
4.36E8,12.848063495175795,
4.57E8,12.194470256232412,
4.78E8,11.595466729604148,
4.99E8,11.044161024057242,
5.2E8,10.534774524974308,
5.41E8,10.062425820191086,
5.62E8,9.622963069505536,
5.83E8,9.21283260308616,
6.04E8,8.828974931492798,
6.25E8,8.468741720109035,
6.46E8,8.129828957456262,
6.67E8,7.810222748431647,
6.88E8,7.508155035001166,
7.09E8,7.22206718605304,
7.3E8,6.950579871805682,
7.51E8,6.6924679926431185,
7.72E8,6.446639699946006,
7.93E8,6.21211875038061,
8.14E8,5.988029591660923,
8.35E8,5.773584698916251,
8.56E8,5.5680737751721505,
8.77E8,5.370854503489298,
8.98E8,5.181344596759308,
9.19E8,4.999014937589454,
9.4E8,4.823383637804933,
9.61E8,4.65401087689865,
9.82E8,4.490494402823614,
1.003E9,4.33246559805403,
1.024E9,4.179586029766888,
1.045E9,4.031544416041552,
1.066E9,3.8880539507074032,
1.087E9,3.748849938336207,
1.108E9,3.613687698229938,
1.129E9,3.4823407023778365,
1.15E9,3.354598917473287,
1.171E9,3.230267325371906,
1.192E9,3.109164599982919,
1.213E9,2.991121921633849,
1.234E9,2.8759819125297748,
1.255E9,2.763597679120929,
1.276E9,2.6538319490601063,
1.297E9,2.5465562920269798,
1.318E9,2.4416504150632554,
1.339E9,2.3390015242363966,
1.36E9,2.2385037454604784,
1.381E9,2.1400575981751393,
1.402E9,2.043569516338435,
1.423E9,1.9489514118439504,
1.444E9,1.8561202760414954,
1.465E9,1.764997815536163,
1.486E9,1.6755101188730743,
1.507E9,1.5875873510933585,
1.528E9,1.5011634734784243,
1.549E9,1.416175986090572,
1.57E9,1.3325656909740218,
1.591E9,1.2502764741059973,
1.612E9,1.1692551043866573,
1.633E9,1.0894510481327513,
1.654E9,1.0108162976958153,
1.675E9,0.9333052129641485,
1.696E9,0.8568743746306885,
1.717E9,0.7814824482183684,
1.738E9,0.7070900579520114,
1.759E9,0.6336596696528826,
1.78E9,0.5611554819097638,
1.801E9,0.4895433248500949,
1.822E9,0.4187905658970602,
1.843E9,0.3488660219545509,
1.864E9,0.27973987751221885,
1.885E9,0.21138360820810254,
1.906E9,0.14376990942710866,
1.927E9,0.07687262955037455,
1.948E9,0.010666707503772424,
1.969E9,0.05487188571620637,
1.99E9,0.11976620183374885,
2.011E9,0.18403836667219034,
2.032E9,0.2477096283673307,
2.053E9,0.3108004026429798,
2.074E9,0.3733303153577692,
2.095E9,0.4353182425154725,
2.116E9,0.4967823479158512,
2.137E9,0.5577401186091722,
2.158E9,0.6182083983048199,
2.179E9,0.6782034188729221,
2.2E9,0.7377408300672722,
2.221E9,0.7968357275882103,
2.242E9,0.8555026795952513,
2.263E9,0.9137557517711455,
2.284E9,0.9716085310316329,
2.305E9,1.0290741479683265,
2.326E9,1.0861652981058956,
2.347E9,1.1428942620489817,
2.368E9,1.199272924588992,
2.389E9,1.255312792836023,
2.41E9,1.3110250134367405,
2.431E9,1.3664203889348552,
2.452E9,1.4215093933270995,
2.473E9,1.476302186864043,
2.494E9,1.5308086301419042,
2.515E9,1.5850382975285042,
2.536E9,1.6390004899637538,
2.557E9,1.692704247172549,
2.578E9,1.7461583593255772,
2.599E9,1.7993713781813627,
2.62E9,1.8523516277409238,
2.641E9,1.9051072144444994,
2.662E9,1.9576460369381363,
2.683E9,2.0099757954363566,
2.704E9,2.0621040007056375,
2.725E9,2.1140379826921123,
2.746E9,2.1657848988156916,
2.767E9,2.2173517419516067,
2.788E9,2.268745348119409,
2.809E9,2.3199724038984155,
2.83E9,2.3710394535878274,
2.851E9,2.4219529061288205,
