#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
1.0E8,0.09022611804488018,
1.21E8,0.09033046856097941,
1.42E8,0.09045445372648675,
1.63E8,0.0905979163863486,
1.84E8,0.09076069039849351,
2.05E8,0.09094259435506685,
2.26E8,0.09114342950889007,
2.47E8,0.09136297921598419,
2.68E8,0.09160100901390816,
2.89E8,0.09185726700564614,
3.1E8,0.09213148441047518,
3.31E8,0.09242337621755241,
3.52E8,0.09273264190941333,
3.73E8,0.09305896623677895,
3.94E8,0.09340202003291541,
4.15E8,0.09376146105922478,
4.36E8,0.09413693487560378,
4.57E8,0.09452807573012802,
4.78E8,0.09493450746322737,
4.99E8,0.09535584442192288,
5.2E8,0.09579169237996417,
5.41E8,0.09624164945994562,
5.62E8,0.09670530705367456,
5.83E8,0.09718225073723984,
6.04E8,0.09767206117743549,
6.25E8,0.09817431502637324,
6.46E8,0.0986885858013177,
6.67E8,0.09921444474697215,
6.88E8,0.09975146167766644,
7.09E8,0.10029920579709078,
7.3E8,0.10085724649345376,
7.51E8,0.10142515410814333,
7.72E8,0.1020025006762005,
7.93E8,0.10258886063712376,
8.14E8,0.10318381151474058,
8.35E8,0.1037869345650891,
8.56E8,0.1043978153914613,
8.77E8,0.10501604452595566,
8.98E8,0.1056412179770762,
9.19E8,0.10627293774310174,
9.4E8,0.10691081229111922,
9.61E8,0.10755445700178021,
9.82E8,0.1082034945799907,
1.003E9,0.10885755543189242,
1.024E9,0.1095162780086174,
1.045E9,0.11017930911742671,
1.066E9,0.11084630420094738,
1.087E9,0.11151692758532342,
1.108E9,0.11219085269818205,
1.129E9,0.11286776225739599,
1.15E9,0.1135473484316853,
1.171E9,0.11422931297416078,
1.192E9,0.1149133673299569,
1.213E9,0.11559923271914009,
1.234E9,0.11628664019610555,
1.255E9,0.11697533068669669,
1.276E9,0.11766505500429521,
1.297E9,0.11835557384613302,
1.318E9,0.11904665777107877,
1.339E9,0.11973808716014203,
1.36E9,0.12042965216092848,
1.381E9,0.1211211526172601,
1.402E9,0.12181239798515331,
1.423E9,0.1225032072363218,
1.444E9,0.12319340875034343,
1.465E9,0.1238828401965961,
1.486E9,0.12457134840703592,
1.507E9,0.12525878924085274,
1.528E9,0.12594502744200067,
1.549E9,0.126629936490563,
1.57E9,0.12731339844887002,
1.591E9,0.12799530380324714,
1.612E9,0.12867555130223204,
1.633E9,0.1293540477920576,
1.654E9,0.13003070805015451,
1.675E9,0.13070545461739386,
1.696E9,0.13137821762974333,
1.717E9,0.1320489346499784,
1.738E9,0.13271755050004763,
1.759E9,0.13338401709466008,
1.78E9,0.1340482932766234,
1.801E9,0.13471034465443105,
1.822E9,0.13537014344256365,
1.843E9,0.1360276683049387,
1.864E9,0.13668290420191678,
1.885E9,0.13733584224124185,
1.906E9,0.1379864795332698,
1.927E9,0.13863481905081687,
1.948E9,0.1392808694939352,
1.969E9,0.13992464515990402,
1.99E9,0.1405661658187087,
2.011E9,0.1412054565942579,
2.032E9,0.14184254785158223,
2.053E9,0.14247747509023678,
2.074E9,0.14311027884412542,
2.095E9,0.1437410045879512,
2.116E9,0.14436970265049162,
2.137E9,0.1449964281348914,
2.158E9,0.14562124084616043,
2.179E9,0.14624420522606454,
2.2E9,0.14686539029559353,
2.221E9,0.14748486960519389,
2.242E9,0.14810272119295753,
2.263E9,0.14871902755096,
2.284E9,0.14933387559995154,
2.305E9,0.1499473566726114,
2.326E9,0.15055956650558622,
2.347E9,0.1511706052405473,
2.368E9,0.1517805774345148,
2.389E9,0.15238959207971398,
2.41E9,0.15299776263324916,
2.431E9,0.1536052070568989,
2.452E9,0.15421204786736376,
